kdkab	namakab	KDKEC	NAMA_KEC	KDKEL	DESA_KEL	LAKI	PEREMP	ISLAM	KRISTEN	KATHOLIK	HINDU	BUDHA	KONGHUCU	KEPERCAYAAN	JML_DUK
7302	BULUKUMBA	730208	KINDANG	7302082009	ORO GADING	743	779	1520	2	0	0	0	0	0	1522
7302	BULUKUMBA	730208	KINDANG	7302082010	SIPAENDRE	125	126	251	0	0	0	0	0	0	251
7302	BULUKUMBA	730208	KINDANG	7302082011	KAHAYYA	29	28	57	0	0	0	0	0	0	57
7302	BULUKUMBA	730208	KINDANG	7302082012	SOMBA PALIOI	7	7	14	0	0	0	0	0	0	14
7302	BULUKUMBA	730208	KINDANG	7302082013	SOPA	15	11	26	0	0	0	0	0	0	26
7302	BULUKUMBA	730209	UJUNG LOE	7302092001	DANNUANG	2707	2859	5562	3	0	1	0	0	0	5566
7302	BULUKUMBA	730209	UJUNG LOE	7302092002	GARANTA	2587	2852	5437	2	0	0	0	0	0	5439
7302	BULUKUMBA	730209	UJUNG LOE	7302092003	BALLEANGING	2618	2771	5383	6	0	0	0	0	0	5389
7302	BULUKUMBA	730209	UJUNG LOE	7302092004	BALONG	2200	2210	4407	3	0	0	0	0	0	4410
7302	BULUKUMBA	730209	UJUNG LOE	7302092005	SEPPANG	3002	3086	6081	6	1	0	0	0	0	6088
7302	BULUKUMBA	730209	UJUNG LOE	7302092006	MANYAMPA	2619	2762	5380	1	0	0	0	0	0	5381
7302	BULUKUMBA	730209	UJUNG LOE	7302092007	TAMATTO	2716	2818	5518	16	0	0	0	0	0	5534
7302	BULUKUMBA	730209	UJUNG LOE	7302092008	PADANG LOANG	1778	1813	3586	0	0	5	0	0	0	3591
7302	BULUKUMBA	730209	UJUNG LOE	7302092009	MANJALLING	1414	1481	2893	2	0	0	0	0	0	2895
7302	BULUKUMBA	730209	UJUNG LOE	7302092010	LONRONG	836	866	1702	0	0	0	0	0	0	1702
7302	BULUKUMBA	730209	UJUNG LOE	7302092011	SALEMBA	2206	2377	4579	2	0	2	0	0	0	4583
7302	BULUKUMBA	730209	UJUNG LOE	7302092012	BIJAWANG	1933	2052	3985	0	0	0	0	0	0	3985
7302	BULUKUMBA	730209	UJUNG LOE	7302092013	PACCARAMMENGANG	139	137	276	0	0	0	0	0	0	276
7302	BULUKUMBA	730210	RILAU ALE	7302102001	BONTOMANAI	2396	2535	4930	1	0	0	0	0	0	4931
7302	BULUKUMBA	730210	RILAU ALE	7302102002	PALAMPANG	1974	2150	4122	1	0	1	0	0	0	4124
7302	BULUKUMBA	730210	RILAU ALE	7302102003	BONTOBANGUN	1991	2125	4112	3	0	1	0	0	0	4116
7302	BULUKUMBA	730210	RILAU ALE	7302102004	KARAMA	2079	2197	4275	0	0	1	0	0	0	4276
7302	BULUKUMBA	730210	RILAU ALE	7302102005	BONTOLOHE	1649	1854	3502	1	0	0	0	0	0	3503
7302	BULUKUMBA	730210	RILAU ALE	7302102006	BAJIMINASA	2208	2287	4492	3	0	0	0	0	0	4495
7302	BULUKUMBA	730210	RILAU ALE	7302102007	BONTO MATENE	1309	1293	2600	2	0	0	0	0	0	2602
7302	BULUKUMBA	730210	RILAU ALE	7302102008	TANAH HARAPAN	2574	2706	5274	3	0	3	0	0	0	5280
7302	BULUKUMBA	730210	RILAU ALE	7302102009	BATUKAROPA	1948	2076	4023	1	0	0	0	0	0	4024
7302	BULUKUMBA	730210	RILAU ALE	7302102010	BONTOHARU	1622	1713	3333	2	0	0	0	0	0	3335
7302	BULUKUMBA	730210	RILAU ALE	7302102011	SWATANI	1692	1787	3474	4	0	1	0	0	0	3479
7302	BULUKUMBA	730210	RILAU ALE	7302102012	BULOLOHE	1422	1470	2892	0	0	0	0	0	0	2892
7302	BULUKUMBA	730210	RILAU ALE	7302102013	ANRANG	1828	1838	3664	2	0	0	0	0	0	3666
7302	BULUKUMBA	730210	RILAU ALE	7302102014	PANGALLOANG	827	872	1699	0	0	0	0	0	0	1699
7302	BULUKUMBA	730210	RILAU ALE	7302102015	TOPANDA	727	747	1474	0	0	0	0	0	0	1474
7303	BANTAENG	730301	BISSAPPU	7303011001	BONTO MANAI	1681	1653	3330	0	0	0	0	0	4	3334
7303	BANTAENG	730301	BISSAPPU	7303011002	BONTO LEBANG	2048	2096	4121	11	11	0	0	0	1	4144
7303	BANTAENG	730301	BISSAPPU	7303011003	BONTO SUNGGU	4133	3977	7990	45	50	0	15	0	10	8110
7303	BANTAENG	730301	BISSAPPU	7303011004	BONTO  ATU	1883	1966	3779	42	7	0	2	0	19	3849
7303	BANTAENG	730301	BISSAPPU	7303011005	BONTO RITA	2974	3130	5976	1	0	0	0	0	127	6104
7303	BANTAENG	730301	BISSAPPU	7303011006	BONTO LANGKASA	1087	1106	2191	0	0	0	0	0	2	2193
7303	BANTAENG	730301	BISSAPPU	7303011007	BONTO JAYA	1567	1599	3159	0	4	1	0	0	2	3166
